Dates,Confirmed,Confirmed per day
02/03/2020,1,1
03/03/2020,1,0
04/03/2020,1,0
05/03/2020,2,1
06/03/2020,2,0
07/03/2020,2,0
08/03/2020,2,0
09/03/2020,2,0
10/03/2020,3,1
11/03/2020,5,2
12/03/2020,6,1
13/03/2020,7,1
14/03/2020,17,10
15/03/2020,28,11
16/03/2020,29,1
17/03/2020,38,9
18/03/2020,49,11
19/03/2020,63,14
20/03/2020,77,14
21/03/2020,96,19
22/03/2020,115,19
23/03/2020,143,28
24/03/2020,170,27
25/03/2020,225,55
26/03/2020,275,50
27/03/2020,345,70
28/03/2020,402,57
29/03/2020,479,77
30/03/2020,556,77
31/03/2020,617,61
01/04/2020,654,37
02/04/2020,708,54
03/04/2020,791,83
04/04/2020,919,128
05/04/2020,1021,102
06/04/2020,1120,99
07/04/2020,1184,64
08/04/2020,1275,91
09/04/2020,1374,99
10/04/2020,1448,74
11/04/2020,1545,97
12/04/2020,1661,116
13/04/2020,1763,102
